Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Oklahoma Sooners,-110,-36.0,NCAAF,2023-09-02 12:00:00-04:00,Oklahoma Sooners,Arkansas State Red Wolves,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,58.5,NCAAF,2023-09-02 12:00:00-04:00,Oklahoma Sooners,Arkansas State Red Wolves,DraftKings,totals,2023-08-29 22:01:36-04:00
Ball State Cardinals,-110,26.5,NCAAF,2023-09-02 12:00:00-04:00,Kentucky Wildcats,Ball State Cardinals,DraftKings,spreads,2023-08-29 22:01:36-04:00
Kentucky Wildcats,-110,-26.5,NCAAF,2023-09-02 12:00:00-04:00,Kentucky Wildcats,Ball State Cardinals,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,49.5,NCAAF,2023-09-02 12:00:00-04:00,Kentucky Wildcats,Ball State Cardinals,DraftKings,totals,2023-08-29 22:01:36-04:00
Boston College Eagles,-110,-8.5,NCAAF,2023-09-02 12:00:00-04:00,Boston College Eagles,Northern Illinois Huskies,DraftKings,spreads,2023-08-29 22:01:36-04:00
Northern Illinois Huskies,-110,8.5,NCAAF,2023-09-02 12:00:00-04:00,Boston College Eagles,Northern Illinois Huskies,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,50.5,NCAAF,2023-09-02 12:00:00-04:00,Boston College Eagles,Northern Illinois Huskies,DraftKings,totals,2023-08-29 22:01:36-04:00
Bowling Green Falcons,-108,9.5,NCAAF,2023-09-02 12:00:00-04:00,Liberty Flames,Bowling Green Falcons,DraftKings,spreads,2023-08-29 22:01:36-04:00
Liberty Flames,-112,-9.5,NCAAF,2023-09-02 12:00:00-04:00,Liberty Flames,Bowling Green Falcons,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,49.5,NCAAF,2023-09-02 12:00:00-04:00,Liberty Flames,Bowling Green Falcons,DraftKings,totals,2023-08-29 22:01:36-04:00
Colorado Buffaloes,-110,20.5,NCAAF,2023-09-02 12:00:00-04:00,TCU Horned Frogs,Colorado Buffaloes,DraftKings,spreads,2023-08-29 22:01:36-04:00
TCU Horned Frogs,-110,-20.5,NCAAF,2023-09-02 12:00:00-04:00,TCU Horned Frogs,Colorado Buffaloes,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,64.0,NCAAF,2023-09-02 12:00:00-04:00,TCU Horned Frogs,Colorado Buffaloes,DraftKings,totals,2023-08-29 22:01:36-04:00
East Carolina Pirates,-110,36.0,NCAAF,2023-09-02 12:00:00-04:00,Michigan Wolverines,East Carolina Pirates,DraftKings,spreads,2023-08-29 22:01:36-04:00
Michigan Wolverines,-110,-36.0,NCAAF,2023-09-02 12:00:00-04:00,Michigan Wolverines,East Carolina Pirates,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,51.5,NCAAF,2023-09-02 12:00:00-04:00,Michigan Wolverines,East Carolina Pirates,DraftKings,totals,2023-08-29 22:01:36-04:00
Fresno State Bulldogs,-110,4.0,NCAAF,2023-09-02 12:00:00-04:00,Purdue Boilermakers,Fresno State Bulldogs,DraftKings,spreads,2023-08-29 22:01:36-04:00
Purdue Boilermakers,-110,-4.0,NCAAF,2023-09-02 12:00:00-04:00,Purdue Boilermakers,Fresno State Bulldogs,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,48.0,NCAAF,2023-09-02 12:00:00-04:00,Purdue Boilermakers,Fresno State Bulldogs,DraftKings,totals,2023-08-29 22:01:36-04:00
Iowa Hawkeyes,-108,-25.5,NCAAF,2023-09-02 12:00:00-04:00,Iowa Hawkeyes,Utah State Aggies,DraftKings,spreads,2023-08-29 22:01:36-04:00
Utah State Aggies,-112,25.5,NCAAF,2023-09-02 12:00:00-04:00,Iowa Hawkeyes,Utah State Aggies,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-108,45.0,NCAAF,2023-09-02 12:00:00-04:00,Iowa Hawkeyes,Utah State Aggies,DraftKings,totals,2023-08-29 22:01:36-04:00
Louisiana Tech Bulldogs,-112,20.5,NCAAF,2023-09-02 12:00:00-04:00,SMU Mustangs,Louisiana Tech Bulldogs,DraftKings,spreads,2023-08-29 22:01:36-04:00
SMU Mustangs,-108,-20.5,NCAAF,2023-09-02 12:00:00-04:00,SMU Mustangs,Louisiana Tech Bulldogs,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,66.5,NCAAF,2023-09-02 12:00:00-04:00,SMU Mustangs,Louisiana Tech Bulldogs,DraftKings,totals,2023-08-29 22:01:36-04:00
Tennessee Volunteers,-110,-28.0,NCAAF,2023-09-02 12:01:00-04:00,Tennessee Volunteers,Virginia Cavaliers,DraftKings,spreads,2023-08-29 22:01:36-04:00
Virginia Cavaliers,-110,28.0,NCAAF,2023-09-02 12:01:00-04:00,Tennessee Volunteers,Virginia Cavaliers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,56.5,NCAAF,2023-09-02 12:01:00-04:00,Tennessee Volunteers,Virginia Cavaliers,DraftKings,totals,2023-08-29 22:01:36-04:00
Akron Zips,-105,10.0,NCAAF,2023-09-02 14:00:00-04:00,Temple Owls,Akron Zips,DraftKings,spreads,2023-08-29 22:01:36-04:00
Temple Owls,-115,-10.0,NCAAF,2023-09-02 14:00:00-04:00,Temple Owls,Akron Zips,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,56.5,NCAAF,2023-09-02 14:00:00-04:00,Temple Owls,Akron Zips,DraftKings,totals,2023-08-29 22:01:36-04:00
Boise State Broncos,-110,14.5,NCAAF,2023-09-02 15:30:00-04:00,Washington Huskies,Boise State Broncos,DraftKings,spreads,2023-08-29 22:01:36-04:00
Washington Huskies,-110,-14.5,NCAAF,2023-09-02 15:30:00-04:00,Washington Huskies,Boise State Broncos,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,58.5,NCAAF,2023-09-02 15:30:00-04:00,Washington Huskies,Boise State Broncos,DraftKings,totals,2023-08-29 22:01:36-04:00
Buffalo Bulls,-110,27.5,NCAAF,2023-09-02 15:30:00-04:00,Wisconsin Badgers,Buffalo Bulls,DraftKings,spreads,2023-08-29 22:01:36-04:00
Wisconsin Badgers,-110,-27.5,NCAAF,2023-09-02 15:30:00-04:00,Wisconsin Badgers,Buffalo Bulls,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-108,54.5,NCAAF,2023-09-02 15:30:00-04:00,Wisconsin Badgers,Buffalo Bulls,DraftKings,totals,2023-08-29 22:01:36-04:00
Rice Owls,-110,35.0,NCAAF,2023-09-02 15:30:00-04:00,Texas Longhorns,Rice Owls,DraftKings,spreads,2023-08-29 22:01:36-04:00
Texas Longhorns,-110,-35.0,NCAAF,2023-09-02 15:30:00-04:00,Texas Longhorns,Rice Owls,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,59.0,NCAAF,2023-09-02 15:30:00-04:00,Texas Longhorns,Rice Owls,DraftKings,totals,2023-08-29 22:01:36-04:00
South Florida Bulls,-110,11.5,NCAAF,2023-09-02 15:30:00-04:00,Western Kentucky Hilltoppers,South Florida Bulls,DraftKings,spreads,2023-08-29 22:01:36-04:00
Western Kentucky Hilltoppers,-110,-11.5,NCAAF,2023-09-02 15:30:00-04:00,Western Kentucky Hilltoppers,South Florida Bulls,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,70.0,NCAAF,2023-09-02 15:30:00-04:00,Western Kentucky Hilltoppers,South Florida Bulls,DraftKings,totals,2023-08-29 22:01:36-04:00
Auburn Tigers,-110,-35.0,NCAAF,2023-09-02 15:31:00-04:00,Auburn Tigers,UMass Minutemen,DraftKings,spreads,2023-08-29 22:01:36-04:00
UMass Minutemen,-110,35.0,NCAAF,2023-09-02 15:31:00-04:00,Auburn Tigers,UMass Minutemen,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,52.0,NCAAF,2023-09-02 15:31:00-04:00,Auburn Tigers,UMass Minutemen,DraftKings,totals,2023-08-29 22:01:36-04:00
Indiana Hoosiers,-110,30.0,NCAAF,2023-09-02 15:31:00-04:00,Indiana Hoosiers,Ohio State Buckeyes,DraftKings,spreads,2023-08-29 22:01:36-04:00
Ohio State Buckeyes,-110,-30.0,NCAAF,2023-09-02 15:31:00-04:00,Indiana Hoosiers,Ohio State Buckeyes,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,59.5,NCAAF,2023-09-02 15:31:00-04:00,Indiana Hoosiers,Ohio State Buckeyes,DraftKings,totals,2023-08-29 22:01:36-04:00
California Golden Bears,-110,-6.5,NCAAF,2023-09-02 16:00:00-04:00,North Texas Mean Green,California Golden Bears,DraftKings,spreads,2023-08-29 22:01:36-04:00
North Texas Mean Green,-110,6.5,NCAAF,2023-09-02 16:00:00-04:00,North Texas Mean Green,California Golden Bears,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,54.0,NCAAF,2023-09-02 16:00:00-04:00,North Texas Mean Green,California Golden Bears,DraftKings,totals,2023-08-29 22:01:36-04:00
Nevada Wolf Pack,-110,38.0,NCAAF,2023-09-02 18:30:00-04:00,USC Trojans,Nevada Wolf Pack,DraftKings,spreads,2023-08-29 22:01:36-04:00
USC Trojans,-110,-38.0,NCAAF,2023-09-02 18:30:00-04:00,USC Trojans,Nevada Wolf Pack,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,67.5,NCAAF,2023-09-02 18:30:00-04:00,USC Trojans,Nevada Wolf Pack,DraftKings,totals,2023-08-29 22:01:36-04:00
Army Black Knights,-110,-10.0,NCAAF,2023-09-02 19:00:00-04:00,UL Monroe Warhawks,Army Black Knights,DraftKings,spreads,2023-08-29 22:01:36-04:00
UL Monroe Warhawks,-110,10.0,NCAAF,2023-09-02 19:00:00-04:00,UL Monroe Warhawks,Army Black Knights,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,46.5,NCAAF,2023-09-02 19:00:00-04:00,UL Monroe Warhawks,Army Black Knights,DraftKings,totals,2023-08-29 22:01:36-04:00
Baylor Bears,-110,-27.5,NCAAF,2023-09-02 19:00:00-04:00,Baylor Bears,Texas State Bobcats,DraftKings,spreads,2023-08-29 22:01:36-04:00
Texas State Bobcats,-110,27.5,NCAAF,2023-09-02 19:00:00-04:00,Baylor Bears,Texas State Bobcats,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,62.0,NCAAF,2023-09-02 19:00:00-04:00,Baylor Bears,Texas State Bobcats,DraftKings,totals,2023-08-29 22:01:36-04:00
Colorado State Rams,-110,11.5,NCAAF,2023-09-02 19:00:00-04:00,Colorado State Rams,Washington State Cougars,DraftKings,spreads,2023-08-29 22:01:36-04:00
Washington State Cougars,-110,-11.5,NCAAF,2023-09-02 19:00:00-04:00,Colorado State Rams,Washington State Cougars,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,54.5,NCAAF,2023-09-02 19:00:00-04:00,Colorado State Rams,Washington State Cougars,DraftKings,totals,2023-08-29 22:01:36-04:00
Houston Cougars,-115,1.5,NCAAF,2023-09-02 19:00:00-04:00,Houston Cougars,UTSA Roadrunners,DraftKings,spreads,2023-08-29 22:01:36-04:00
UTSA Roadrunners,-105,-1.5,NCAAF,2023-09-02 19:00:00-04:00,Houston Cougars,UTSA Roadrunners,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,60.5,NCAAF,2023-09-02 19:00:00-04:00,Houston Cougars,UTSA Roadrunners,DraftKings,totals,2023-08-29 22:01:36-04:00
New Mexico Lobos,-110,38.0,NCAAF,2023-09-02 19:01:00-04:00,Texas A&M Aggies,New Mexico Lobos,DraftKings,spreads,2023-08-29 22:01:36-04:00
Texas A&M Aggies,-110,-38.0,NCAAF,2023-09-02 19:01:00-04:00,Texas A&M Aggies,New Mexico Lobos,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,49.0,NCAAF,2023-09-02 19:01:00-04:00,Texas A&M Aggies,New Mexico Lobos,DraftKings,totals,2023-08-29 22:01:36-04:00
Illinois Fighting Illini,-110,-9.5,NCAAF,2023-09-02 19:30:00-04:00,Illinois Fighting Illini,Toledo Rockets,DraftKings,spreads,2023-08-29 22:01:36-04:00
Toledo Rockets,-110,9.5,NCAAF,2023-09-02 19:30:00-04:00,Illinois Fighting Illini,Toledo Rockets,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,45.5,NCAAF,2023-09-02 19:30:00-04:00,Illinois Fighting Illini,Toledo Rockets,DraftKings,totals,2023-08-29 22:01:36-04:00
Penn State Nittany Lions,-110,-20.5,NCAAF,2023-09-02 19:30:00-04:00,Penn State Nittany Lions,West Virginia Mountaineers,DraftKings,spreads,2023-08-29 22:01:36-04:00
West Virginia Mountaineers,-110,20.5,NCAAF,2023-09-02 19:30:00-04:00,Penn State Nittany Lions,West Virginia Mountaineers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,50.5,NCAAF,2023-09-02 19:30:00-04:00,Penn State Nittany Lions,West Virginia Mountaineers,DraftKings,totals,2023-08-29 22:01:36-04:00
Texas Tech Red Raiders,-110,-14.0,NCAAF,2023-09-02 19:30:00-04:00,Wyoming Cowboys,Texas Tech Red Raiders,DraftKings,spreads,2023-08-29 22:01:36-04:00
Wyoming Cowboys,-110,14.0,NCAAF,2023-09-02 19:30:00-04:00,Wyoming Cowboys,Texas Tech Red Raiders,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,50.5,NCAAF,2023-09-02 19:30:00-04:00,Wyoming Cowboys,Texas Tech Red Raiders,DraftKings,totals,2023-08-29 22:01:36-04:00
North Carolina Tar Heels,-115,-2.5,NCAAF,2023-09-02 19:30:41-04:00,North Carolina Tar Heels,South Carolina Gamecocks,DraftKings,spreads,2023-08-29 22:01:36-04:00
South Carolina Gamecocks,-105,2.5,NCAAF,2023-09-02 19:30:41-04:00,North Carolina Tar Heels,South Carolina Gamecocks,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,64.5,NCAAF,2023-09-02 19:30:41-04:00,North Carolina Tar Heels,South Carolina Gamecocks,DraftKings,totals,2023-08-29 22:01:36-04:00
Alabama Crimson Tide,-110,-39.5,NCAAF,2023-09-02 19:31:00-04:00,Alabama Crimson Tide,Middle Tennessee Blue Raiders,DraftKings,spreads,2023-08-29 22:01:36-04:00
Middle Tennessee Blue Raiders,-110,39.5,NCAAF,2023-09-02 19:31:00-04:00,Alabama Crimson Tide,Middle Tennessee Blue Raiders,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,51.5,NCAAF,2023-09-02 19:31:00-04:00,Alabama Crimson Tide,Middle Tennessee Blue Raiders,DraftKings,totals,2023-08-29 22:01:36-04:00
Old Dominion Monarchs,-110,16.0,NCAAF,2023-09-02 20:00:00-04:00,Virginia Tech Hokies,Old Dominion Monarchs,DraftKings,spreads,2023-08-29 22:01:36-04:00
Virginia Tech Hokies,-110,-16.0,NCAAF,2023-09-02 20:00:00-04:00,Virginia Tech Hokies,Old Dominion Monarchs,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-108,48.0,NCAAF,2023-09-02 20:00:00-04:00,Virginia Tech Hokies,Old Dominion Monarchs,DraftKings,totals,2023-08-29 22:01:36-04:00
South Alabama Jaguars,-110,6.5,NCAAF,2023-09-02 20:00:00-04:00,Tulane Green Wave,South Alabama Jaguars,DraftKings,spreads,2023-08-29 22:01:36-04:00
Tulane Green Wave,-110,-6.5,NCAAF,2023-09-02 20:00:00-04:00,Tulane Green Wave,South Alabama Jaguars,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,52.5,NCAAF,2023-09-02 20:00:00-04:00,Tulane Green Wave,South Alabama Jaguars,DraftKings,totals,2023-08-29 22:01:36-04:00
BYU Cougars,-110,-20.0,NCAAF,2023-09-02 22:15:00-04:00,BYU Cougars,Sam Houston State Bearkats,DraftKings,spreads,2023-08-29 22:01:36-04:00
Sam Houston State Bearkats,-110,20.0,NCAAF,2023-09-02 22:15:00-04:00,BYU Cougars,Sam Houston State Bearkats,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,46.5,NCAAF,2023-09-02 22:15:00-04:00,BYU Cougars,Sam Houston State Bearkats,DraftKings,totals,2023-08-29 22:01:36-04:00
Coastal Carolina Chanticleers,-110,14.5,NCAAF,2023-09-02 22:30:00-04:00,UCLA Bruins,Coastal Carolina Chanticleers,DraftKings,spreads,2023-08-29 22:01:36-04:00
UCLA Bruins,-110,-14.5,NCAAF,2023-09-02 22:30:00-04:00,UCLA Bruins,Coastal Carolina Chanticleers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,65.5,NCAAF,2023-09-02 22:30:00-04:00,UCLA Bruins,Coastal Carolina Chanticleers,DraftKings,totals,2023-08-29 22:01:36-04:00
Oregon State Beavers,-110,-16.5,NCAAF,2023-09-03 15:30:00-04:00,San Jose State Spartans,Oregon State Beavers,DraftKings,spreads,2023-08-29 22:01:36-04:00
San Jose State Spartans,-110,16.5,NCAAF,2023-09-03 15:30:00-04:00,San Jose State Spartans,Oregon State Beavers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,55.5,NCAAF,2023-09-03 15:30:00-04:00,San Jose State Spartans,Oregon State Beavers,DraftKings,totals,2023-08-29 22:01:36-04:00
Florida State Seminoles,-110,2.5,NCAAF,2023-09-03 19:30:41-04:00,Florida State Seminoles,LSU Tigers,DraftKings,spreads,2023-08-29 22:01:36-04:00
LSU Tigers,-110,-2.5,NCAAF,2023-09-03 19:30:41-04:00,Florida State Seminoles,LSU Tigers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,56.5,NCAAF,2023-09-03 19:30:41-04:00,Florida State Seminoles,LSU Tigers,DraftKings,totals,2023-08-29 22:01:36-04:00
Clemson Tigers,-110,-13.0,NCAAF,2023-09-04 20:00:00-04:00,Duke Blue Devils,Clemson Tigers,DraftKings,spreads,2023-08-29 22:01:36-04:00
Duke Blue Devils,-110,13.0,NCAAF,2023-09-04 20:00:00-04:00,Duke Blue Devils,Clemson Tigers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,55.5,NCAAF,2023-09-04 20:00:00-04:00,Duke Blue Devils,Clemson Tigers,DraftKings,totals,2023-08-29 22:01:36-04:00
