Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Kent State Golden Flashes,-110,37.0,NCAAF,2023-08-31 19:00:00-04:00,UCF Knights,Kent State Golden Flashes,DraftKings,spreads,2023-08-29 22:01:36-04:00
UCF Knights,-110,-37.0,NCAAF,2023-08-31 19:00:00-04:00,UCF Knights,Kent State Golden Flashes,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,55.5,NCAAF,2023-08-31 19:00:00-04:00,UCF Knights,Kent State Golden Flashes,DraftKings,totals,2023-08-29 22:01:36-04:00
NC State Wolfpack,-110,-14.5,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,spreads,2023-08-29 22:01:36-04:00
UConn Huskies,-110,14.5,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,46.5,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,totals,2023-08-29 22:01:36-04:00
Florida Gators,-105,6.5,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,spreads,2023-08-29 22:01:36-04:00
Utah Utes,-115,-6.5,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,44.5,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,totals,2023-08-29 22:01:36-04:00
Minnesota Golden Gophers,-110,-7.0,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,spreads,2023-08-29 22:01:36-04:00
Nebraska Cornhuskers,-110,7.0,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,43.5,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,totals,2023-08-29 22:01:36-04:00
Central Michigan Chippewas,-112,14.5,NCAAF,2023-09-01 19:00:00-04:00,Michigan State Spartans,Central Michigan Chippewas,DraftKings,spreads,2023-08-29 22:01:36-04:00
Michigan State Spartans,-108,-14.5,NCAAF,2023-09-01 19:00:00-04:00,Michigan State Spartans,Central Michigan Chippewas,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,45.5,NCAAF,2023-09-01 19:00:00-04:00,Michigan State Spartans,Central Michigan Chippewas,DraftKings,totals,2023-08-29 22:01:36-04:00
Miami (OH) RedHawks,-110,17.0,NCAAF,2023-09-01 19:00:00-04:00,Miami Hurricanes,Miami (OH) RedHawks,DraftKings,spreads,2023-08-29 22:01:36-04:00
Miami Hurricanes,-110,-17.0,NCAAF,2023-09-01 19:00:00-04:00,Miami Hurricanes,Miami (OH) RedHawks,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,45.5,NCAAF,2023-09-01 19:00:00-04:00,Miami Hurricanes,Miami (OH) RedHawks,DraftKings,totals,2023-08-29 22:01:36-04:00
Georgia Tech Yellow Jackets,-115,7.5,NCAAF,2023-09-01 19:30:00-04:00,Georgia Tech Yellow Jackets,Louisville Cardinals,DraftKings,spreads,2023-08-29 22:01:36-04:00
Louisville Cardinals,-105,-7.5,NCAAF,2023-09-01 19:30:00-04:00,Georgia Tech Yellow Jackets,Louisville Cardinals,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,48.5,NCAAF,2023-09-01 19:30:00-04:00,Georgia Tech Yellow Jackets,Louisville Cardinals,DraftKings,totals,2023-08-29 22:01:36-04:00
Hawaii Rainbow Warriors,-110,3.5,NCAAF,2023-09-01 23:00:00-04:00,Hawaii Rainbow Warriors,Stanford Cardinal,DraftKings,spreads,2023-08-29 22:01:36-04:00
Stanford Cardinal,-110,-3.5,NCAAF,2023-09-01 23:00:00-04:00,Hawaii Rainbow Warriors,Stanford Cardinal,DraftKings,spreads,2023-08-29 22:01:36-04:00
O/U,-110,59.0,NCAAF,2023-09-01 23:00:00-04:00,Hawaii Rainbow Warriors,Stanford Cardinal,DraftKings,totals,2023-08-29 22:01:36-04:00
Arkansas State Red Wolves,-110,36.0,NCAAF,2023-09-02 12:00:00-04:00,Oklahoma Sooners,Arkansas State Red Wolves,DraftKings,spreads,2023-08-29 22:01:36-04:00
