Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Coastal Carolina Chanticleers,-110,-6.5,NCAAF,2023-09-21 19:30:00-04:00,Coastal Carolina Chanticleers,Georgia State Panthers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Georgia State Panthers,-110,6.5,NCAAF,2023-09-21 19:30:00-04:00,Coastal Carolina Chanticleers,Georgia State Panthers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,62.5,NCAAF,2023-09-21 19:30:00-04:00,Coastal Carolina Chanticleers,Georgia State Panthers,DraftKings,totals,2023-09-19 15:33:39-04:00
Purdue Boilermakers,-110,6.0,NCAAF,2023-09-22 19:00:00-04:00,Purdue Boilermakers,Wisconsin Badgers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Wisconsin Badgers,-110,-6.0,NCAAF,2023-09-22 19:00:00-04:00,Purdue Boilermakers,Wisconsin Badgers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,53.5,NCAAF,2023-09-22 19:00:00-04:00,Purdue Boilermakers,Wisconsin Badgers,DraftKings,totals,2023-09-19 15:33:39-04:00
NC State Wolfpack,-112,-9.5,NCAAF,2023-09-22 19:30:00-04:00,Virginia Cavaliers,NC State Wolfpack,DraftKings,spreads,2023-09-19 15:33:39-04:00
Virginia Cavaliers,-108,9.5,NCAAF,2023-09-22 19:30:00-04:00,Virginia Cavaliers,NC State Wolfpack,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,47.0,NCAAF,2023-09-22 19:30:00-04:00,Virginia Cavaliers,NC State Wolfpack,DraftKings,totals,2023-09-19 15:33:39-04:00
Air Force Falcons,-112,-3.5,NCAAF,2023-09-22 22:30:00-04:00,San Jose State Spartans,Air Force Falcons,DraftKings,spreads,2023-09-19 15:33:39-04:00
San Jose State Spartans,-108,3.5,NCAAF,2023-09-22 22:30:00-04:00,San Jose State Spartans,Air Force Falcons,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,47.0,NCAAF,2023-09-22 22:30:00-04:00,San Jose State Spartans,Air Force Falcons,DraftKings,totals,2023-09-19 15:33:39-04:00
Boise State Broncos,-112,-6.5,NCAAF,2023-09-22 22:30:00-04:00,San Diego State Aztecs,Boise State Broncos,DraftKings,spreads,2023-09-19 15:33:39-04:00
San Diego State Aztecs,-108,6.5,NCAAF,2023-09-22 22:30:00-04:00,San Diego State Aztecs,Boise State Broncos,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,45.0,NCAAF,2023-09-22 22:30:00-04:00,San Diego State Aztecs,Boise State Broncos,DraftKings,totals,2023-09-19 15:33:39-04:00
Army Black Knights,-108,13.5,NCAAF,2023-09-23 12:00:00-04:00,Syracuse Orange,Army Black Knights,DraftKings,spreads,2023-09-19 15:33:39-04:00
Syracuse Orange,-112,-13.5,NCAAF,2023-09-23 12:00:00-04:00,Syracuse Orange,Army Black Knights,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,50.5,NCAAF,2023-09-23 12:00:00-04:00,Syracuse Orange,Army Black Knights,DraftKings,totals,2023-09-19 15:33:39-04:00
Auburn Tigers,-110,7.5,NCAAF,2023-09-23 12:00:00-04:00,Texas A&M Aggies,Auburn Tigers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Texas A&M Aggies,-110,-7.5,NCAAF,2023-09-23 12:00:00-04:00,Texas A&M Aggies,Auburn Tigers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,52.5,NCAAF,2023-09-23 12:00:00-04:00,Texas A&M Aggies,Auburn Tigers,DraftKings,totals,2023-09-19 15:33:39-04:00
Cincinnati Bearcats,-110,14.5,NCAAF,2023-09-23 12:00:00-04:00,Cincinnati Bearcats,Oklahoma Sooners,DraftKings,spreads,2023-09-19 15:33:39-04:00
Oklahoma Sooners,-110,-14.5,NCAAF,2023-09-23 12:00:00-04:00,Cincinnati Bearcats,Oklahoma Sooners,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,60.5,NCAAF,2023-09-23 12:00:00-04:00,Cincinnati Bearcats,Oklahoma Sooners,DraftKings,totals,2023-09-19 15:33:39-04:00
Clemson Tigers,-110,2.5,NCAAF,2023-09-23 12:00:00-04:00,Clemson Tigers,Florida State Seminoles,DraftKings,spreads,2023-09-19 15:33:39-04:00
Florida State Seminoles,-110,-2.5,NCAAF,2023-09-23 12:00:00-04:00,Clemson Tigers,Florida State Seminoles,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,55.0,NCAAF,2023-09-23 12:00:00-04:00,Clemson Tigers,Florida State Seminoles,DraftKings,totals,2023-09-19 15:33:39-04:00
Kentucky Wildcats,-110,-14.0,NCAAF,2023-09-23 12:00:00-04:00,Vanderbilt Commodores,Kentucky Wildcats,DraftKings,spreads,2023-09-19 15:33:39-04:00
Vanderbilt Commodores,-110,14.0,NCAAF,2023-09-23 12:00:00-04:00,Vanderbilt Commodores,Kentucky Wildcats,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,50.5,NCAAF,2023-09-23 12:00:00-04:00,Vanderbilt Commodores,Kentucky Wildcats,DraftKings,totals,2023-09-19 15:33:39-04:00
Marshall Thundering Herd,-108,-5.0,NCAAF,2023-09-23 12:00:00-04:00,Marshall Thundering Herd,Virginia Tech Hokies,DraftKings,spreads,2023-09-19 15:33:39-04:00
Virginia Tech Hokies,-112,5.0,NCAAF,2023-09-23 12:00:00-04:00,Marshall Thundering Herd,Virginia Tech Hokies,DraftKings,spreads,2023-09-19 15:33:39-04:00
