Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
O/U,-112,41.0,NCAAF,2023-09-23 12:00:00-04:00,Marshall Thundering Herd,Virginia Tech Hokies,DraftKings,totals,2023-09-19 15:33:39-04:00
Northern Illinois Huskies,-108,-3.5,NCAAF,2023-09-23 12:00:00-04:00,Northern Illinois Huskies,Tulsa Golden Hurricane,DraftKings,spreads,2023-09-19 15:33:39-04:00
Tulsa Golden Hurricane,-112,3.5,NCAAF,2023-09-23 12:00:00-04:00,Northern Illinois Huskies,Tulsa Golden Hurricane,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,53.5,NCAAF,2023-09-23 12:00:00-04:00,Northern Illinois Huskies,Tulsa Golden Hurricane,DraftKings,totals,2023-09-19 15:33:39-04:00
SMU Mustangs,-112,6.5,NCAAF,2023-09-23 12:00:00-04:00,TCU Horned Frogs,SMU Mustangs,DraftKings,spreads,2023-09-19 15:33:39-04:00
TCU Horned Frogs,-108,-6.5,NCAAF,2023-09-23 12:00:00-04:00,TCU Horned Frogs,SMU Mustangs,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,64.0,NCAAF,2023-09-23 12:00:00-04:00,TCU Horned Frogs,SMU Mustangs,DraftKings,totals,2023-09-19 15:33:39-04:00
Troy Trojans,-110,-3.5,NCAAF,2023-09-23 12:00:00-04:00,Troy Trojans,Western Kentucky Hilltoppers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Western Kentucky Hilltoppers,-110,3.5,NCAAF,2023-09-23 12:00:00-04:00,Troy Trojans,Western Kentucky Hilltoppers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,59.0,NCAAF,2023-09-23 12:00:00-04:00,Troy Trojans,Western Kentucky Hilltoppers,DraftKings,totals,2023-09-19 15:33:39-04:00
Toledo Rockets,-108,-20.0,NCAAF,2023-09-23 13:30:00-04:00,Toledo Rockets,Western Michigan Broncos,DraftKings,spreads,2023-09-19 15:33:39-04:00
Western Michigan Broncos,-112,20.0,NCAAF,2023-09-23 13:30:00-04:00,Toledo Rockets,Western Michigan Broncos,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,54.0,NCAAF,2023-09-23 13:30:00-04:00,Toledo Rockets,Western Michigan Broncos,DraftKings,totals,2023-09-19 15:33:39-04:00
Ball State Cardinals,-110,6.5,NCAAF,2023-09-23 14:00:00-04:00,Ball State Cardinals,Georgia Southern Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
Georgia Southern Eagles,-110,-6.5,NCAAF,2023-09-23 14:00:00-04:00,Ball State Cardinals,Georgia Southern Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,59.5,NCAAF,2023-09-23 14:00:00-04:00,Ball State Cardinals,Georgia Southern Eagles,DraftKings,totals,2023-09-19 15:33:39-04:00
Alabama Crimson Tide,-108,-7.0,NCAAF,2023-09-23 15:30:00-04:00,Alabama Crimson Tide,Ole Miss Rebels,DraftKings,spreads,2023-09-19 15:33:39-04:00
Ole Miss Rebels,-112,7.0,NCAAF,2023-09-23 15:30:00-04:00,Alabama Crimson Tide,Ole Miss Rebels,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,57.0,NCAAF,2023-09-23 15:30:00-04:00,Alabama Crimson Tide,Ole Miss Rebels,DraftKings,totals,2023-09-19 15:33:39-04:00
BYU Cougars,-110,9.0,NCAAF,2023-09-23 15:30:00-04:00,Kansas Jayhawks,BYU Cougars,DraftKings,spreads,2023-09-19 15:33:39-04:00
Kansas Jayhawks,-110,-9.0,NCAAF,2023-09-23 15:30:00-04:00,Kansas Jayhawks,BYU Cougars,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,55.5,NCAAF,2023-09-23 15:30:00-04:00,Kansas Jayhawks,BYU Cougars,DraftKings,totals,2023-09-19 15:33:39-04:00
Boston College Eagles,-110,14.0,NCAAF,2023-09-23 15:30:00-04:00,Louisville Cardinals,Boston College Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
Louisville Cardinals,-110,-14.0,NCAAF,2023-09-23 15:30:00-04:00,Louisville Cardinals,Boston College Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,54.5,NCAAF,2023-09-23 15:30:00-04:00,Louisville Cardinals,Boston College Eagles,DraftKings,totals,2023-09-19 15:33:39-04:00
Bowling Green Falcons,-110,12.5,NCAAF,2023-09-23 15:30:00-04:00,Bowling Green Falcons,Ohio Bobcats,DraftKings,spreads,2023-09-19 15:33:39-04:00
Ohio Bobcats,-110,-12.5,NCAAF,2023-09-23 15:30:00-04:00,Bowling Green Falcons,Ohio Bobcats,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,46.0,NCAAF,2023-09-23 15:30:00-04:00,Bowling Green Falcons,Ohio Bobcats,DraftKings,totals,2023-09-19 15:33:39-04:00
Colorado Buffaloes,-110,21.0,NCAAF,2023-09-23 15:30:00-04:00,Oregon Ducks,Colorado Buffaloes,DraftKings,spreads,2023-09-19 15:33:39-04:00
Oregon Ducks,-110,-21.0,NCAAF,2023-09-23 15:30:00-04:00,Oregon Ducks,Colorado Buffaloes,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,71.5,NCAAF,2023-09-23 15:30:00-04:00,Oregon Ducks,Colorado Buffaloes,DraftKings,totals,2023-09-19 15:33:39-04:00
Duke Blue Devils,-105,-21.5,NCAAF,2023-09-23 15:30:00-04:00,UConn Huskies,Duke Blue Devils,DraftKings,spreads,2023-09-19 15:33:39-04:00
UConn Huskies,-115,21.5,NCAAF,2023-09-23 15:30:00-04:00,UConn Huskies,Duke Blue Devils,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,45.5,NCAAF,2023-09-23 15:30:00-04:00,UConn Huskies,Duke Blue Devils,DraftKings,totals,2023-09-19 15:33:39-04:00
Florida Atlantic Owls,-108,14.0,NCAAF,2023-09-23 15:30:00-04:00,Illinois Fighting Illini,Florida Atlantic Owls,DraftKings,spreads,2023-09-19 15:33:39-04:00
Illinois Fighting Illini,-112,-14.0,NCAAF,2023-09-23 15:30:00-04:00,Illinois Fighting Illini,Florida Atlantic Owls,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,45.5,NCAAF,2023-09-23 15:30:00-04:00,Illinois Fighting Illini,Florida Atlantic Owls,DraftKings,totals,2023-09-19 15:33:39-04:00
Louisiana Tech Bulldogs,-108,19.5,NCAAF,2023-09-23 15:30:00-04:00,Nebraska Cornhuskers,Louisiana Tech Bulldogs,DraftKings,spreads,2023-09-19 15:33:39-04:00
Nebraska Cornhuskers,-112,-19.5,NCAAF,2023-09-23 15:30:00-04:00,Nebraska Cornhuskers,Louisiana Tech Bulldogs,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,47.5,NCAAF,2023-09-23 15:30:00-04:00,Nebraska Cornhuskers,Louisiana Tech Bulldogs,DraftKings,totals,2023-09-19 15:33:39-04:00
Maryland Terrapins,-110,-7.5,NCAAF,2023-09-23 15:30:00-04:00,Michigan State Spartans,Maryland Terrapins,DraftKings,spreads,2023-09-19 15:33:39-04:00
Michigan State Spartans,-110,7.5,NCAAF,2023-09-23 15:30:00-04:00,Michigan State Spartans,Maryland Terrapins,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,52.5,NCAAF,2023-09-23 15:30:00-04:00,Michigan State Spartans,Maryland Terrapins,DraftKings,totals,2023-09-19 15:33:39-04:00
Miami Hurricanes,-112,-22.5,NCAAF,2023-09-23 15:30:00-04:00,Temple Owls,Miami Hurricanes,DraftKings,spreads,2023-09-19 15:33:39-04:00
Temple Owls,-108,22.5,NCAAF,2023-09-23 15:30:00-04:00,Temple Owls,Miami Hurricanes,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,50.5,NCAAF,2023-09-23 15:30:00-04:00,Temple Owls,Miami Hurricanes,DraftKings,totals,2023-09-19 15:33:39-04:00
New Mexico Lobos,-112,3.5,NCAAF,2023-09-23 15:30:00-04:00,UMass Minutemen,New Mexico Lobos,DraftKings,spreads,2023-09-19 15:33:39-04:00
UMass Minutemen,-108,-3.5,NCAAF,2023-09-23 15:30:00-04:00,UMass Minutemen,New Mexico Lobos,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,49.5,NCAAF,2023-09-23 15:30:00-04:00,UMass Minutemen,New Mexico Lobos,DraftKings,totals,2023-09-19 15:33:39-04:00
Texas Tech Red Raiders,-112,-6.0,NCAAF,2023-09-23 15:30:00-04:00,West Virginia Mountaineers,Texas Tech Red Raiders,DraftKings,spreads,2023-09-19 15:33:39-04:00
West Virginia Mountaineers,-108,6.0,NCAAF,2023-09-23 15:30:00-04:00,West Virginia Mountaineers,Texas Tech Red Raiders,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,55.0,NCAAF,2023-09-23 15:30:00-04:00,West Virginia Mountaineers,Texas Tech Red Raiders,DraftKings,totals,2023-09-19 15:33:39-04:00
UCLA Bruins,-110,4.5,NCAAF,2023-09-23 15:30:00-04:00,Utah Utes,UCLA Bruins,DraftKings,spreads,2023-09-19 15:33:39-04:00
Utah Utes,-110,-4.5,NCAAF,2023-09-23 15:30:00-04:00,Utah Utes,UCLA Bruins,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,51.0,NCAAF,2023-09-23 15:30:00-04:00,Utah Utes,UCLA Bruins,DraftKings,totals,2023-09-19 15:33:39-04:00
Iowa State Cyclones,-108,-3.5,NCAAF,2023-09-23 16:00:00-04:00,Iowa State Cyclones,Oklahoma State Cowboys,DraftKings,spreads,2023-09-19 15:33:39-04:00
Oklahoma State Cowboys,-112,3.5,NCAAF,2023-09-23 16:00:00-04:00,Iowa State Cyclones,Oklahoma State Cowboys,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,36.5,NCAAF,2023-09-23 16:00:00-04:00,Iowa State Cyclones,Oklahoma State Cowboys,DraftKings,totals,2023-09-19 15:33:39-04:00
Rice Owls,-110,-2.5,NCAAF,2023-09-23 16:00:00-04:00,South Florida Bulls,Rice Owls,DraftKings,spreads,2023-09-19 15:33:39-04:00
South Florida Bulls,-110,2.5,NCAAF,2023-09-23 16:00:00-04:00,South Florida Bulls,Rice Owls,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,57.5,NCAAF,2023-09-23 16:00:00-04:00,South Florida Bulls,Rice Owls,DraftKings,totals,2023-09-19 15:33:39-04:00
Tennessee Volunteers,-112,-20.5,NCAAF,2023-09-23 16:00:00-04:00,Tennessee Volunteers,UTSA Roadrunners,DraftKings,spreads,2023-09-19 15:33:39-04:00
UTSA Roadrunners,-108,20.5,NCAAF,2023-09-23 16:00:00-04:00,Tennessee Volunteers,UTSA Roadrunners,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,57.5,NCAAF,2023-09-23 16:00:00-04:00,Tennessee Volunteers,UTSA Roadrunners,DraftKings,totals,2023-09-19 15:33:39-04:00
Central Michigan Chippewas,-108,15.0,NCAAF,2023-09-23 17:00:00-04:00,South Alabama Jaguars,Central Michigan Chippewas,DraftKings,spreads,2023-09-19 15:33:39-04:00
South Alabama Jaguars,-112,-15.0,NCAAF,2023-09-23 17:00:00-04:00,South Alabama Jaguars,Central Michigan Chippewas,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,49.5,NCAAF,2023-09-23 17:00:00-04:00,South Alabama Jaguars,Central Michigan Chippewas,DraftKings,totals,2023-09-19 15:33:39-04:00
Eastern Michigan Eagles,-110,6.5,NCAAF,2023-09-23 17:00:00-04:00,Jacksonville State Gamecocks,Eastern Michigan Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
Jacksonville State Gamecocks,-110,-6.5,NCAAF,2023-09-23 17:00:00-04:00,Jacksonville State Gamecocks,Eastern Michigan Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,52.5,NCAAF,2023-09-23 17:00:00-04:00,Jacksonville State Gamecocks,Eastern Michigan Eagles,DraftKings,totals,2023-09-19 15:33:39-04:00
Florida International Panthers,-108,10.0,NCAAF,2023-09-23 18:30:00-04:00,Florida International Panthers,Liberty Flames,DraftKings,spreads,2023-09-19 15:33:39-04:00
Liberty Flames,-112,-10.0,NCAAF,2023-09-23 18:30:00-04:00,Florida International Panthers,Liberty Flames,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,52.5,NCAAF,2023-09-23 18:30:00-04:00,Florida International Panthers,Liberty Flames,DraftKings,totals,2023-09-19 15:33:39-04:00
Georgia Tech Yellow Jackets,-112,4.0,NCAAF,2023-09-23 18:30:00-04:00,Wake Forest Demon Deacons,Georgia Tech Yellow Jackets,DraftKings,spreads,2023-09-19 15:33:39-04:00
Wake Forest Demon Deacons,-108,-4.0,NCAAF,2023-09-23 18:30:00-04:00,Wake Forest Demon Deacons,Georgia Tech Yellow Jackets,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,59.0,NCAAF,2023-09-23 18:30:00-04:00,Wake Forest Demon Deacons,Georgia Tech Yellow Jackets,DraftKings,totals,2023-09-19 15:33:39-04:00
Appalachian State Mountaineers,-110,2.5,NCAAF,2023-09-23 19:00:00-04:00,Wyoming Cowboys,Appalachian State Mountaineers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Wyoming Cowboys,-110,-2.5,NCAAF,2023-09-23 19:00:00-04:00,Wyoming Cowboys,Appalachian State Mountaineers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,43.5,NCAAF,2023-09-23 19:00:00-04:00,Wyoming Cowboys,Appalachian State Mountaineers,DraftKings,totals,2023-09-19 15:33:39-04:00
Arizona Wildcats,-110,-11.5,NCAAF,2023-09-23 19:00:00-04:00,Stanford Cardinal,Arizona Wildcats,DraftKings,spreads,2023-09-19 15:33:39-04:00
Stanford Cardinal,-110,11.5,NCAAF,2023-09-23 19:00:00-04:00,Stanford Cardinal,Arizona Wildcats,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,58.5,NCAAF,2023-09-23 19:00:00-04:00,Stanford Cardinal,Arizona Wildcats,DraftKings,totals,2023-09-19 15:33:39-04:00
Arkansas Razorbacks,-110,17.5,NCAAF,2023-09-23 19:00:00-04:00,LSU Tigers,Arkansas Razorbacks,DraftKings,spreads,2023-09-19 15:33:39-04:00
LSU Tigers,-110,-17.5,NCAAF,2023-09-23 19:00:00-04:00,LSU Tigers,Arkansas Razorbacks,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,56.0,NCAAF,2023-09-23 19:00:00-04:00,LSU Tigers,Arkansas Razorbacks,DraftKings,totals,2023-09-19 15:33:39-04:00
Arkansas State Red Wolves,-110,7.0,NCAAF,2023-09-23 19:00:00-04:00,Arkansas State Red Wolves,Southern Mississippi Golden Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
Southern Mississippi Golden Eagles,-110,-7.0,NCAAF,2023-09-23 19:00:00-04:00,Arkansas State Red Wolves,Southern Mississippi Golden Eagles,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,49.0,NCAAF,2023-09-23 19:00:00-04:00,Arkansas State Red Wolves,Southern Mississippi Golden Eagles,DraftKings,totals,2023-09-19 15:33:39-04:00
Charlotte 49ers,-110,28.0,NCAAF,2023-09-23 19:00:00-04:00,Florida Gators,Charlotte 49ers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Florida Gators,-110,-28.0,NCAAF,2023-09-23 19:00:00-04:00,Florida Gators,Charlotte 49ers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,49.5,NCAAF,2023-09-23 19:00:00-04:00,Florida Gators,Charlotte 49ers,DraftKings,totals,2023-09-19 15:33:39-04:00
Colorado State Rams,-110,2.5,NCAAF,2023-09-23 19:00:00-04:00,Middle Tennessee Blue Raiders,Colorado State Rams,DraftKings,spreads,2023-09-19 15:33:39-04:00
Middle Tennessee Blue Raiders,-110,-2.5,NCAAF,2023-09-23 19:00:00-04:00,Middle Tennessee Blue Raiders,Colorado State Rams,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-112,53.0,NCAAF,2023-09-23 19:00:00-04:00,Middle Tennessee Blue Raiders,Colorado State Rams,DraftKings,totals,2023-09-19 15:33:39-04:00
Houston Cougars,-110,-12.5,NCAAF,2023-09-23 19:00:00-04:00,Houston Cougars,Sam Houston State Bearkats,DraftKings,spreads,2023-09-19 15:33:39-04:00
Sam Houston State Bearkats,-110,12.5,NCAAF,2023-09-23 19:00:00-04:00,Houston Cougars,Sam Houston State Bearkats,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,38.0,NCAAF,2023-09-23 19:00:00-04:00,Houston Cougars,Sam Houston State Bearkats,DraftKings,totals,2023-09-19 15:33:39-04:00
Nevada Wolf Pack,-110,17.0,NCAAF,2023-09-23 19:00:00-04:00,Texas State Bobcats,Nevada Wolf Pack,DraftKings,spreads,2023-09-19 15:33:39-04:00
Texas State Bobcats,-110,-17.0,NCAAF,2023-09-23 19:00:00-04:00,Texas State Bobcats,Nevada Wolf Pack,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,59.5,NCAAF,2023-09-23 19:00:00-04:00,Texas State Bobcats,Nevada Wolf Pack,DraftKings,totals,2023-09-19 15:33:39-04:00
Oregon State Beavers,-102,-3.0,NCAAF,2023-09-23 19:00:00-04:00,Washington State Cougars,Oregon State Beavers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Washington State Cougars,-118,3.0,NCAAF,2023-09-23 19:00:00-04:00,Washington State Cougars,Oregon State Beavers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,56.0,NCAAF,2023-09-23 19:00:00-04:00,Washington State Cougars,Oregon State Beavers,DraftKings,totals,2023-09-19 15:33:39-04:00
Akron Zips,-110,16.0,NCAAF,2023-09-23 19:30:00-04:00,Indiana Hoosiers,Akron Zips,DraftKings,spreads,2023-09-19 15:33:39-04:00
Indiana Hoosiers,-110,-16.0,NCAAF,2023-09-23 19:30:00-04:00,Indiana Hoosiers,Akron Zips,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,46.5,NCAAF,2023-09-23 19:30:00-04:00,Indiana Hoosiers,Akron Zips,DraftKings,totals,2023-09-19 15:33:39-04:00
Baylor Bears,-110,15.0,NCAAF,2023-09-23 19:30:00-04:00,Baylor Bears,Texas Longhorns,DraftKings,spreads,2023-09-19 15:33:39-04:00
Texas Longhorns,-110,-15.0,NCAAF,2023-09-23 19:30:00-04:00,Baylor Bears,Texas Longhorns,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,51.5,NCAAF,2023-09-23 19:30:00-04:00,Baylor Bears,Texas Longhorns,DraftKings,totals,2023-09-19 15:33:39-04:00
Georgia Bulldogs,-110,-42.0,NCAAF,2023-09-23 19:30:00-04:00,Georgia Bulldogs,UAB Blazers,DraftKings,spreads,2023-09-19 15:33:39-04:00
UAB Blazers,-110,42.0,NCAAF,2023-09-23 19:30:00-04:00,Georgia Bulldogs,UAB Blazers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,54.0,NCAAF,2023-09-23 19:30:00-04:00,Georgia Bulldogs,UAB Blazers,DraftKings,totals,2023-09-19 15:33:39-04:00
Iowa Hawkeyes,-112,14.5,NCAAF,2023-09-23 19:30:00-04:00,Penn State Nittany Lions,Iowa Hawkeyes,DraftKings,spreads,2023-09-19 15:33:39-04:00
Penn State Nittany Lions,-108,-14.5,NCAAF,2023-09-23 19:30:00-04:00,Penn State Nittany Lions,Iowa Hawkeyes,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,40.5,NCAAF,2023-09-23 19:30:00-04:00,Penn State Nittany Lions,Iowa Hawkeyes,DraftKings,totals,2023-09-19 15:33:39-04:00
Memphis Tigers,-110,5.5,NCAAF,2023-09-23 19:30:00-04:00,Missouri Tigers,Memphis Tigers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Missouri Tigers,-110,-5.5,NCAAF,2023-09-23 19:30:00-04:00,Missouri Tigers,Memphis Tigers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,51.5,NCAAF,2023-09-23 19:30:00-04:00,Missouri Tigers,Memphis Tigers,DraftKings,totals,2023-09-19 15:33:39-04:00
Minnesota Golden Gophers,-110,-12.0,NCAAF,2023-09-23 19:30:00-04:00,Northwestern Wildcats,Minnesota Golden Gophers,DraftKings,spreads,2023-09-19 15:33:39-04:00
Northwestern Wildcats,-110,12.0,NCAAF,2023-09-23 19:30:00-04:00,Northwestern Wildcats,Minnesota Golden Gophers,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,38.0,NCAAF,2023-09-23 19:30:00-04:00,Northwestern Wildcats,Minnesota Golden Gophers,DraftKings,totals,2023-09-19 15:33:39-04:00
Mississippi State Bulldogs,-110,6.0,NCAAF,2023-09-23 19:30:00-04:00,South Carolina Gamecocks,Mississippi State Bulldogs,DraftKings,spreads,2023-09-19 15:33:39-04:00
South Carolina Gamecocks,-110,-6.0,NCAAF,2023-09-23 19:30:00-04:00,South Carolina Gamecocks,Mississippi State Bulldogs,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-108,50.0,NCAAF,2023-09-23 19:30:00-04:00,South Carolina Gamecocks,Mississippi State Bulldogs,DraftKings,totals,2023-09-19 15:33:39-04:00
Notre Dame Fighting Irish,-105,3.0,NCAAF,2023-09-23 19:30:00-04:00,Notre Dame Fighting Irish,Ohio State Buckeyes,DraftKings,spreads,2023-09-19 15:33:39-04:00
Ohio State Buckeyes,-115,-3.0,NCAAF,2023-09-23 19:30:00-04:00,Notre Dame Fighting Irish,Ohio State Buckeyes,DraftKings,spreads,2023-09-19 15:33:39-04:00
O/U,-110,54.5,NCAAF,2023-09-23 19:30:00-04:00,Notre Dame Fighting Irish,Ohio State Buckeyes,DraftKings,totals,2023-09-19 15:33:39-04:00
