Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Middle Tennessee Blue Raiders,-110,5.5,NCAAF,2023-09-28 19:30:00-04:00,Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,DraftKings,spreads,2023-09-26 15:27:14-04:00
Western Kentucky Hilltoppers,-110,-5.5,NCAAF,2023-09-28 19:30:00-04:00,Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-112,59.5,NCAAF,2023-09-28 19:30:00-04:00,Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,DraftKings,totals,2023-09-26 15:27:14-04:00
Temple Owls,-110,3.5,NCAAF,2023-09-28 19:30:00-04:00,Tulsa Golden Hurricane,Temple Owls,DraftKings,spreads,2023-09-26 15:27:14-04:00
Tulsa Golden Hurricane,-110,-3.5,NCAAF,2023-09-28 19:30:00-04:00,Tulsa Golden Hurricane,Temple Owls,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.5,NCAAF,2023-09-28 19:30:00-04:00,Tulsa Golden Hurricane,Temple Owls,DraftKings,totals,2023-09-26 15:27:14-04:00
Jacksonville State Gamecocks,-110,-6.5,NCAAF,2023-09-28 20:00:00-04:00,Sam Houston State Bearkats,Jacksonville State Gamecocks,DraftKings,spreads,2023-09-26 15:27:14-04:00
Sam Houston State Bearkats,-110,6.5,NCAAF,2023-09-28 20:00:00-04:00,Sam Houston State Bearkats,Jacksonville State Gamecocks,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,36.5,NCAAF,2023-09-28 20:00:00-04:00,Sam Houston State Bearkats,Jacksonville State Gamecocks,DraftKings,totals,2023-09-26 15:27:14-04:00
Louisville Cardinals,-110,-3.0,NCAAF,2023-09-29 19:00:00-04:00,NC State Wolfpack,Louisville Cardinals,DraftKings,spreads,2023-09-26 15:27:14-04:00
NC State Wolfpack,-110,3.0,NCAAF,2023-09-29 19:00:00-04:00,NC State Wolfpack,Louisville Cardinals,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.5,NCAAF,2023-09-29 19:00:00-04:00,NC State Wolfpack,Louisville Cardinals,DraftKings,totals,2023-09-26 15:27:14-04:00
Louisiana Tech Bulldogs,-110,1.0,NCAAF,2023-09-29 21:00:00-04:00,UTEP Miners,Louisiana Tech Bulldogs,DraftKings,spreads,2023-09-26 15:27:14-04:00
UTEP Miners,-110,-1.0,NCAAF,2023-09-29 21:00:00-04:00,UTEP Miners,Louisiana Tech Bulldogs,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,53.0,NCAAF,2023-09-29 21:00:00-04:00,UTEP Miners,Louisiana Tech Bulldogs,DraftKings,totals,2023-09-26 15:27:14-04:00
Oregon State Beavers,-108,-3.5,NCAAF,2023-09-29 21:00:00-04:00,Oregon State Beavers,Utah Utes,DraftKings,spreads,2023-09-26 15:27:14-04:00
Utah Utes,-112,3.5,NCAAF,2023-09-29 21:00:00-04:00,Oregon State Beavers,Utah Utes,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,45.0,NCAAF,2023-09-29 21:00:00-04:00,Oregon State Beavers,Utah Utes,DraftKings,totals,2023-09-26 15:27:14-04:00
BYU Cougars,-110,-1.5,NCAAF,2023-09-29 22:15:00-04:00,BYU Cougars,Cincinnati Bearcats,DraftKings,spreads,2023-09-26 15:27:14-04:00
Cincinnati Bearcats,-110,1.5,NCAAF,2023-09-29 22:15:00-04:00,BYU Cougars,Cincinnati Bearcats,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,48.5,NCAAF,2023-09-29 22:15:00-04:00,BYU Cougars,Cincinnati Bearcats,DraftKings,totals,2023-09-26 15:27:14-04:00
Akron Zips,-110,-3.0,NCAAF,2023-09-30 12:00:00-04:00,Akron Zips,Buffalo Bulls,DraftKings,spreads,2023-09-26 15:27:14-04:00
Buffalo Bulls,-110,3.0,NCAAF,2023-09-30 12:00:00-04:00,Akron Zips,Buffalo Bulls,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.5,NCAAF,2023-09-30 12:00:00-04:00,Akron Zips,Buffalo Bulls,DraftKings,totals,2023-09-26 15:27:14-04:00
Arkansas Razorbacks,-105,6.5,NCAAF,2023-09-30 12:00:00-04:00,Arkansas Razorbacks,Texas A&M Aggies,DraftKings,spreads,2023-09-26 15:27:14-04:00
Texas A&M Aggies,-115,-6.5,NCAAF,2023-09-30 12:00:00-04:00,Arkansas Razorbacks,Texas A&M Aggies,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.5,NCAAF,2023-09-30 12:00:00-04:00,Arkansas Razorbacks,Texas A&M Aggies,DraftKings,totals,2023-09-26 15:27:14-04:00
