Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Clemson Tigers,-110,-7.0,NCAAF,2023-09-30 12:00:00-04:00,Syracuse Orange,Clemson Tigers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Syracuse Orange,-110,7.0,NCAAF,2023-09-30 12:00:00-04:00,Syracuse Orange,Clemson Tigers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,52.5,NCAAF,2023-09-30 12:00:00-04:00,Syracuse Orange,Clemson Tigers,DraftKings,totals,2023-09-26 15:27:14-04:00
Colorado Buffaloes,-110,21.5,NCAAF,2023-09-30 12:00:00-04:00,Colorado Buffaloes,USC Trojans,DraftKings,spreads,2023-09-26 15:27:14-04:00
USC Trojans,-110,-21.5,NCAAF,2023-09-30 12:00:00-04:00,Colorado Buffaloes,USC Trojans,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,73.5,NCAAF,2023-09-30 12:00:00-04:00,Colorado Buffaloes,USC Trojans,DraftKings,totals,2023-09-26 15:27:14-04:00
Florida Gators,-115,3.0,NCAAF,2023-09-30 12:00:00-04:00,Kentucky Wildcats,Florida Gators,DraftKings,spreads,2023-09-26 15:27:14-04:00
Kentucky Wildcats,-105,-3.0,NCAAF,2023-09-30 12:00:00-04:00,Kentucky Wildcats,Florida Gators,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,44.0,NCAAF,2023-09-30 12:00:00-04:00,Kentucky Wildcats,Florida Gators,DraftKings,totals,2023-09-26 15:27:14-04:00
James Madison Dukes,-110,-3.0,NCAAF,2023-09-30 12:00:00-04:00,James Madison Dukes,South Alabama Jaguars,DraftKings,spreads,2023-09-26 15:27:14-04:00
South Alabama Jaguars,-110,3.0,NCAAF,2023-09-30 12:00:00-04:00,James Madison Dukes,South Alabama Jaguars,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,49.5,NCAAF,2023-09-30 12:00:00-04:00,James Madison Dukes,South Alabama Jaguars,DraftKings,totals,2023-09-26 15:27:14-04:00
Louisiana Ragin Cajuns,-110,11.0,NCAAF,2023-09-30 12:00:00-04:00,Minnesota Golden Gophers,Louisiana Ragin Cajuns,DraftKings,spreads,2023-09-26 15:27:14-04:00
Minnesota Golden Gophers,-110,-11.0,NCAAF,2023-09-30 12:00:00-04:00,Minnesota Golden Gophers,Louisiana Ragin Cajuns,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,48.5,NCAAF,2023-09-30 12:00:00-04:00,Minnesota Golden Gophers,Louisiana Ragin Cajuns,DraftKings,totals,2023-09-26 15:27:14-04:00
Northwestern Wildcats,-110,26.5,NCAAF,2023-09-30 12:00:00-04:00,Northwestern Wildcats,Penn State Nittany Lions,DraftKings,spreads,2023-09-26 15:27:14-04:00
Penn State Nittany Lions,-110,-26.5,NCAAF,2023-09-30 12:00:00-04:00,Northwestern Wildcats,Penn State Nittany Lions,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,46.0,NCAAF,2023-09-30 12:00:00-04:00,Northwestern Wildcats,Penn State Nittany Lions,DraftKings,totals,2023-09-26 15:27:14-04:00
Tulane Green Wave,-108,-21.5,NCAAF,2023-09-30 12:00:00-04:00,Tulane Green Wave,UAB Blazers,DraftKings,spreads,2023-09-26 15:27:14-04:00
UAB Blazers,-112,21.5,NCAAF,2023-09-30 12:00:00-04:00,Tulane Green Wave,UAB Blazers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,58.5,NCAAF,2023-09-30 12:00:00-04:00,Tulane Green Wave,UAB Blazers,DraftKings,totals,2023-09-26 15:27:14-04:00
UConn Huskies,-110,6.0,NCAAF,2023-09-30 12:00:00-04:00,UConn Huskies,Utah State Aggies,DraftKings,spreads,2023-09-26 15:27:14-04:00
Utah State Aggies,-110,-6.0,NCAAF,2023-09-30 12:00:00-04:00,UConn Huskies,Utah State Aggies,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,51.0,NCAAF,2023-09-30 12:00:00-04:00,UConn Huskies,Utah State Aggies,DraftKings,totals,2023-09-26 15:27:14-04:00
Central Michigan Chippewas,-110,-7.5,NCAAF,2023-09-30 13:30:00-04:00,Central Michigan Chippewas,Eastern Michigan Eagles,DraftKings,spreads,2023-09-26 15:27:14-04:00
Eastern Michigan Eagles,-110,7.5,NCAAF,2023-09-30 13:30:00-04:00,Central Michigan Chippewas,Eastern Michigan Eagles,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,48.0,NCAAF,2023-09-30 13:30:00-04:00,Central Michigan Chippewas,Eastern Michigan Eagles,DraftKings,totals,2023-09-26 15:27:14-04:00
Boston College Eagles,-110,-3.5,NCAAF,2023-09-30 14:00:00-04:00,Boston College Eagles,Virginia Cavaliers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Virginia Cavaliers,-110,3.5,NCAAF,2023-09-30 14:00:00-04:00,Boston College Eagles,Virginia Cavaliers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.0,NCAAF,2023-09-30 14:00:00-04:00,Boston College Eagles,Virginia Cavaliers,DraftKings,totals,2023-09-26 15:27:14-04:00
Kent State Golden Flashes,-110,15.5,NCAAF,2023-09-30 14:30:00-04:00,Kent State Golden Flashes,Miami (OH) RedHawks,DraftKings,spreads,2023-09-26 15:27:14-04:00
Miami (OH) RedHawks,-110,-15.5,NCAAF,2023-09-30 14:30:00-04:00,Kent State Golden Flashes,Miami (OH) RedHawks,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,48.5,NCAAF,2023-09-30 14:30:00-04:00,Kent State Golden Flashes,Miami (OH) RedHawks,DraftKings,totals,2023-09-26 15:27:14-04:00
Arizona State Sun Devils,-110,12.5,NCAAF,2023-09-30 15:00:00-04:00,California Golden Bears,Arizona State Sun Devils,DraftKings,spreads,2023-09-26 15:27:14-04:00
California Golden Bears,-110,-12.5,NCAAF,2023-09-30 15:00:00-04:00,California Golden Bears,Arizona State Sun Devils,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,47.5,NCAAF,2023-09-30 15:00:00-04:00,California Golden Bears,Arizona State Sun Devils,DraftKings,totals,2023-09-26 15:27:14-04:00
Arkansas State Red Wolves,-110,1.0,NCAAF,2023-09-30 15:30:00-04:00,UMass Minutemen,Arkansas State Red Wolves,DraftKings,spreads,2023-09-26 15:27:14-04:00
UMass Minutemen,-110,-1.0,NCAAF,2023-09-30 15:30:00-04:00,UMass Minutemen,Arkansas State Red Wolves,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.5,NCAAF,2023-09-30 15:30:00-04:00,UMass Minutemen,Arkansas State Red Wolves,DraftKings,totals,2023-09-26 15:27:14-04:00
Auburn Tigers,-115,14.5,NCAAF,2023-09-30 15:30:00-04:00,Auburn Tigers,Georgia Bulldogs,DraftKings,spreads,2023-09-26 15:27:14-04:00
Georgia Bulldogs,-105,-14.5,NCAAF,2023-09-30 15:30:00-04:00,Auburn Tigers,Georgia Bulldogs,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,47.0,NCAAF,2023-09-30 15:30:00-04:00,Auburn Tigers,Georgia Bulldogs,DraftKings,totals,2023-09-26 15:27:14-04:00
Ball State Cardinals,-110,1.0,NCAAF,2023-09-30 15:30:00-04:00,Western Michigan Broncos,Ball State Cardinals,DraftKings,spreads,2023-09-26 15:27:14-04:00
Western Michigan Broncos,-110,-1.0,NCAAF,2023-09-30 15:30:00-04:00,Western Michigan Broncos,Ball State Cardinals,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,52.5,NCAAF,2023-09-30 15:30:00-04:00,Western Michigan Broncos,Ball State Cardinals,DraftKings,totals,2023-09-26 15:27:14-04:00
Baylor Bears,-110,11.5,NCAAF,2023-09-30 15:30:00-04:00,UCF Knights,Baylor Bears,DraftKings,spreads,2023-09-26 15:27:14-04:00
UCF Knights,-110,-11.5,NCAAF,2023-09-30 15:30:00-04:00,UCF Knights,Baylor Bears,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.0,NCAAF,2023-09-30 15:30:00-04:00,UCF Knights,Baylor Bears,DraftKings,totals,2023-09-26 15:27:14-04:00
Bowling Green Falcons,-110,22.0,NCAAF,2023-09-30 15:30:00-04:00,Georgia Tech Yellow Jackets,Bowling Green Falcons,DraftKings,spreads,2023-09-26 15:27:14-04:00
Georgia Tech Yellow Jackets,-110,-22.0,NCAAF,2023-09-30 15:30:00-04:00,Georgia Tech Yellow Jackets,Bowling Green Falcons,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-108,51.5,NCAAF,2023-09-30 15:30:00-04:00,Georgia Tech Yellow Jackets,Bowling Green Falcons,DraftKings,totals,2023-09-26 15:27:14-04:00
Houston Cougars,-112,10.0,NCAAF,2023-09-30 15:30:00-04:00,Texas Tech Red Raiders,Houston Cougars,DraftKings,spreads,2023-09-26 15:27:14-04:00
Texas Tech Red Raiders,-108,-10.0,NCAAF,2023-09-30 15:30:00-04:00,Texas Tech Red Raiders,Houston Cougars,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,51.5,NCAAF,2023-09-30 15:30:00-04:00,Texas Tech Red Raiders,Houston Cougars,DraftKings,totals,2023-09-26 15:27:14-04:00
Illinois Fighting Illini,-110,1.0,NCAAF,2023-09-30 15:30:00-04:00,Purdue Boilermakers,Illinois Fighting Illini,DraftKings,spreads,2023-09-26 15:27:14-04:00
Purdue Boilermakers,-110,-1.0,NCAAF,2023-09-30 15:30:00-04:00,Purdue Boilermakers,Illinois Fighting Illini,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,53.5,NCAAF,2023-09-30 15:30:00-04:00,Purdue Boilermakers,Illinois Fighting Illini,DraftKings,totals,2023-09-26 15:27:14-04:00
Indiana Hoosiers,-110,14.0,NCAAF,2023-09-30 15:30:00-04:00,Maryland Terrapins,Indiana Hoosiers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Maryland Terrapins,-110,-14.0,NCAAF,2023-09-30 15:30:00-04:00,Maryland Terrapins,Indiana Hoosiers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,50.5,NCAAF,2023-09-30 15:30:00-04:00,Maryland Terrapins,Indiana Hoosiers,DraftKings,totals,2023-09-26 15:27:14-04:00
Kansas Jayhawks,-110,17.0,NCAAF,2023-09-30 15:30:00-04:00,Texas Longhorns,Kansas Jayhawks,DraftKings,spreads,2023-09-26 15:27:14-04:00
Texas Longhorns,-110,-17.0,NCAAF,2023-09-30 15:30:00-04:00,Texas Longhorns,Kansas Jayhawks,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,64.0,NCAAF,2023-09-30 15:30:00-04:00,Texas Longhorns,Kansas Jayhawks,DraftKings,totals,2023-09-26 15:27:14-04:00
Marshall Thundering Herd,-110,-14.0,NCAAF,2023-09-30 15:30:00-04:00,Marshall Thundering Herd,Old Dominion Monarchs,DraftKings,spreads,2023-09-26 15:27:14-04:00
Old Dominion Monarchs,-110,14.0,NCAAF,2023-09-30 15:30:00-04:00,Marshall Thundering Herd,Old Dominion Monarchs,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,46.5,NCAAF,2023-09-30 15:30:00-04:00,Marshall Thundering Herd,Old Dominion Monarchs,DraftKings,totals,2023-09-26 15:27:14-04:00
Michigan Wolverines,-110,-18.0,NCAAF,2023-09-30 15:30:00-04:00,Nebraska Cornhuskers,Michigan Wolverines,DraftKings,spreads,2023-09-26 15:27:14-04:00
Nebraska Cornhuskers,-110,18.0,NCAAF,2023-09-30 15:30:00-04:00,Nebraska Cornhuskers,Michigan Wolverines,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,40.0,NCAAF,2023-09-30 15:30:00-04:00,Nebraska Cornhuskers,Michigan Wolverines,DraftKings,totals,2023-09-26 15:27:14-04:00
Navy Midshipmen,-110,-4.0,NCAAF,2023-09-30 15:30:00-04:00,Navy Midshipmen,South Florida Bulls,DraftKings,spreads,2023-09-26 15:27:14-04:00
South Florida Bulls,-110,4.0,NCAAF,2023-09-30 15:30:00-04:00,Navy Midshipmen,South Florida Bulls,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,54.5,NCAAF,2023-09-30 15:30:00-04:00,Navy Midshipmen,South Florida Bulls,DraftKings,totals,2023-09-26 15:27:14-04:00
Northern Illinois Huskies,-110,12.5,NCAAF,2023-09-30 15:30:00-04:00,Toledo Rockets,Northern Illinois Huskies,DraftKings,spreads,2023-09-26 15:27:14-04:00
Toledo Rockets,-110,-12.5,NCAAF,2023-09-30 15:30:00-04:00,Toledo Rockets,Northern Illinois Huskies,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,50.0,NCAAF,2023-09-30 15:30:00-04:00,Toledo Rockets,Northern Illinois Huskies,DraftKings,totals,2023-09-26 15:27:14-04:00
Boise State Broncos,-115,3.5,NCAAF,2023-09-30 16:00:00-04:00,Memphis Tigers,Boise State Broncos,DraftKings,spreads,2023-09-26 15:27:14-04:00
Memphis Tigers,-105,-3.5,NCAAF,2023-09-30 16:00:00-04:00,Memphis Tigers,Boise State Broncos,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,60.0,NCAAF,2023-09-30 16:00:00-04:00,Memphis Tigers,Boise State Broncos,DraftKings,totals,2023-09-26 15:27:14-04:00
Hawaii Rainbow Warriors,-108,11.0,NCAAF,2023-09-30 16:00:00-04:00,UNLV Rebels,Hawaii Rainbow Warriors,DraftKings,spreads,2023-09-26 15:27:14-04:00
UNLV Rebels,-112,-11.0,NCAAF,2023-09-30 16:00:00-04:00,UNLV Rebels,Hawaii Rainbow Warriors,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,59.0,NCAAF,2023-09-30 16:00:00-04:00,UNLV Rebels,Hawaii Rainbow Warriors,DraftKings,totals,2023-09-26 15:27:14-04:00
Missouri Tigers,-110,-13.0,NCAAF,2023-09-30 16:00:00-04:00,Vanderbilt Commodores,Missouri Tigers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Vanderbilt Commodores,-110,13.0,NCAAF,2023-09-30 16:00:00-04:00,Vanderbilt Commodores,Missouri Tigers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,55.5,NCAAF,2023-09-30 16:00:00-04:00,Vanderbilt Commodores,Missouri Tigers,DraftKings,totals,2023-09-26 15:27:14-04:00
New Mexico Lobos,-110,14.0,NCAAF,2023-09-30 16:00:00-04:00,Wyoming Cowboys,New Mexico Lobos,DraftKings,spreads,2023-09-26 15:27:14-04:00
Wyoming Cowboys,-110,-14.0,NCAAF,2023-09-30 16:00:00-04:00,Wyoming Cowboys,New Mexico Lobos,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,42.0,NCAAF,2023-09-30 16:00:00-04:00,Wyoming Cowboys,New Mexico Lobos,DraftKings,totals,2023-09-26 15:27:14-04:00
LSU Tigers,-112,-2.5,NCAAF,2023-09-30 18:00:00-04:00,Ole Miss Rebels,LSU Tigers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Ole Miss Rebels,-108,2.5,NCAAF,2023-09-30 18:00:00-04:00,Ole Miss Rebels,LSU Tigers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-108,67.0,NCAAF,2023-09-30 18:00:00-04:00,Ole Miss Rebels,LSU Tigers,DraftKings,totals,2023-09-26 15:27:14-04:00
Oregon Ducks,-110,-27.0,NCAAF,2023-09-30 18:30:00-04:00,Stanford Cardinal,Oregon Ducks,DraftKings,spreads,2023-09-26 15:27:14-04:00
Stanford Cardinal,-110,27.0,NCAAF,2023-09-30 18:30:00-04:00,Stanford Cardinal,Oregon Ducks,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,61.0,NCAAF,2023-09-30 18:30:00-04:00,Stanford Cardinal,Oregon Ducks,DraftKings,totals,2023-09-26 15:27:14-04:00
Coastal Carolina Chanticleers,-110,6.5,NCAAF,2023-09-30 19:00:00-04:00,Georgia Southern Eagles,Coastal Carolina Chanticleers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Georgia Southern Eagles,-110,-6.5,NCAAF,2023-09-30 19:00:00-04:00,Georgia Southern Eagles,Coastal Carolina Chanticleers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,63.5,NCAAF,2023-09-30 19:00:00-04:00,Georgia Southern Eagles,Coastal Carolina Chanticleers,DraftKings,totals,2023-09-26 15:27:14-04:00
East Carolina Pirates,-110,3.0,NCAAF,2023-09-30 19:00:00-04:00,Rice Owls,East Carolina Pirates,DraftKings,spreads,2023-09-26 15:27:14-04:00
Rice Owls,-110,-3.0,NCAAF,2023-09-30 19:00:00-04:00,Rice Owls,East Carolina Pirates,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,46.5,NCAAF,2023-09-30 19:00:00-04:00,Rice Owls,East Carolina Pirates,DraftKings,totals,2023-09-26 15:27:14-04:00
Georgia State Panthers,-108,-1.5,NCAAF,2023-09-30 19:00:00-04:00,Georgia State Panthers,Troy Trojans,DraftKings,spreads,2023-09-26 15:27:14-04:00
Troy Trojans,-112,1.5,NCAAF,2023-09-30 19:00:00-04:00,Georgia State Panthers,Troy Trojans,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-108,51.0,NCAAF,2023-09-30 19:00:00-04:00,Georgia State Panthers,Troy Trojans,DraftKings,totals,2023-09-26 15:27:14-04:00
Iowa State Cyclones,-110,20.0,NCAAF,2023-09-30 19:00:00-04:00,Oklahoma Sooners,Iowa State Cyclones,DraftKings,spreads,2023-09-26 15:27:14-04:00
Oklahoma Sooners,-110,-20.0,NCAAF,2023-09-30 19:00:00-04:00,Oklahoma Sooners,Iowa State Cyclones,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,48.5,NCAAF,2023-09-30 19:00:00-04:00,Oklahoma Sooners,Iowa State Cyclones,DraftKings,totals,2023-09-26 15:27:14-04:00
Southern Mississippi Golden Eagles,-110,7.0,NCAAF,2023-09-30 19:00:00-04:00,Southern Mississippi Golden Eagles,Texas State Bobcats,DraftKings,spreads,2023-09-26 15:27:14-04:00
Texas State Bobcats,-110,-7.0,NCAAF,2023-09-30 19:00:00-04:00,Southern Mississippi Golden Eagles,Texas State Bobcats,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,62.5,NCAAF,2023-09-30 19:00:00-04:00,Southern Mississippi Golden Eagles,Texas State Bobcats,DraftKings,totals,2023-09-26 15:27:14-04:00
Charlotte 49ers,-110,23.5,NCAAF,2023-09-30 19:30:00-04:00,SMU Mustangs,Charlotte 49ers,DraftKings,spreads,2023-09-26 15:27:14-04:00
SMU Mustangs,-110,-23.5,NCAAF,2023-09-30 19:30:00-04:00,SMU Mustangs,Charlotte 49ers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,53.5,NCAAF,2023-09-30 19:30:00-04:00,SMU Mustangs,Charlotte 49ers,DraftKings,totals,2023-09-26 15:27:14-04:00
Duke Blue Devils,-110,5.5,NCAAF,2023-09-30 19:30:00-04:00,Duke Blue Devils,Notre Dame Fighting Irish,DraftKings,spreads,2023-09-26 15:27:14-04:00
Notre Dame Fighting Irish,-110,-5.5,NCAAF,2023-09-30 19:30:00-04:00,Duke Blue Devils,Notre Dame Fighting Irish,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,52.5,NCAAF,2023-09-30 19:30:00-04:00,Duke Blue Devils,Notre Dame Fighting Irish,DraftKings,totals,2023-09-26 15:27:14-04:00
Iowa Hawkeyes,-110,-12.5,NCAAF,2023-09-30 19:30:00-04:00,Iowa Hawkeyes,Michigan State Spartans,DraftKings,spreads,2023-09-26 15:27:14-04:00
Michigan State Spartans,-110,12.5,NCAAF,2023-09-30 19:30:00-04:00,Iowa Hawkeyes,Michigan State Spartans,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,36.5,NCAAF,2023-09-30 19:30:00-04:00,Iowa Hawkeyes,Michigan State Spartans,DraftKings,totals,2023-09-26 15:27:14-04:00
South Carolina Gamecocks,-110,12.5,NCAAF,2023-09-30 19:30:00-04:00,Tennessee Volunteers,South Carolina Gamecocks,DraftKings,spreads,2023-09-26 15:27:14-04:00
Tennessee Volunteers,-110,-12.5,NCAAF,2023-09-30 19:30:00-04:00,Tennessee Volunteers,South Carolina Gamecocks,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,63.5,NCAAF,2023-09-30 19:30:00-04:00,Tennessee Volunteers,South Carolina Gamecocks,DraftKings,totals,2023-09-26 15:27:14-04:00
Air Force Falcons,-110,-10.5,NCAAF,2023-09-30 20:00:00-04:00,Air Force Falcons,San Diego State Aztecs,DraftKings,spreads,2023-09-26 15:27:14-04:00
San Diego State Aztecs,-110,10.5,NCAAF,2023-09-30 20:00:00-04:00,Air Force Falcons,San Diego State Aztecs,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,43.5,NCAAF,2023-09-30 20:00:00-04:00,Air Force Falcons,San Diego State Aztecs,DraftKings,totals,2023-09-26 15:27:14-04:00
Appalachian State Mountaineers,-110,-13.5,NCAAF,2023-09-30 20:00:00-04:00,UL Monroe Warhawks,Appalachian State Mountaineers,DraftKings,spreads,2023-09-26 15:27:14-04:00
UL Monroe Warhawks,-110,13.5,NCAAF,2023-09-30 20:00:00-04:00,UL Monroe Warhawks,Appalachian State Mountaineers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,51.0,NCAAF,2023-09-30 20:00:00-04:00,UL Monroe Warhawks,Appalachian State Mountaineers,DraftKings,totals,2023-09-26 15:27:14-04:00
Pittsburgh Panthers,-112,-2.5,NCAAF,2023-09-30 20:00:00-04:00,Virginia Tech Hokies,Pittsburgh Panthers,DraftKings,spreads,2023-09-26 15:27:14-04:00
Virginia Tech Hokies,-108,2.5,NCAAF,2023-09-30 20:00:00-04:00,Virginia Tech Hokies,Pittsburgh Panthers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,39.5,NCAAF,2023-09-30 20:00:00-04:00,Virginia Tech Hokies,Pittsburgh Panthers,DraftKings,totals,2023-09-26 15:27:14-04:00
TCU Horned Frogs,-110,-12.0,NCAAF,2023-09-30 20:00:00-04:00,TCU Horned Frogs,West Virginia Mountaineers,DraftKings,spreads,2023-09-26 15:27:14-04:00
West Virginia Mountaineers,-110,12.0,NCAAF,2023-09-30 20:00:00-04:00,TCU Horned Frogs,West Virginia Mountaineers,DraftKings,spreads,2023-09-26 15:27:14-04:00
O/U,-110,51.0,NCAAF,2023-09-30 20:00:00-04:00,TCU Horned Frogs,West Virginia Mountaineers,DraftKings,totals,2023-09-26 15:27:14-04:00
