Team,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Florida Gators,-110,21.5,NCAAF,2023-10-28 10:00:41-04:00,Florida Gators,Georgia Bulldogs,DraftKings,spreads,2023-08-28 17:51:04-04:00
Georgia Bulldogs,-110,-21.5,NCAAF,2023-10-28 10:00:41-04:00,Florida Gators,Georgia Bulldogs,DraftKings,spreads,2023-08-28 17:51:04-04:00
Alabama Crimson Tide,-110,-7.0,NCAAF,2023-11-04 11:00:41-04:00,Alabama Crimson Tide,LSU Tigers,DraftKings,spreads,2023-08-28 17:51:04-04:00
LSU Tigers,-110,7.0,NCAAF,2023-11-04 11:00:41-04:00,Alabama Crimson Tide,LSU Tigers,DraftKings,spreads,2023-08-28 17:51:04-04:00
Michigan State Spartans,-110,25.5,NCAAF,2023-11-11 10:00:41-05:00,Ohio State Buckeyes,Michigan State Spartans,DraftKings,spreads,2023-08-28 17:51:04-04:00
Ohio State Buckeyes,-110,-25.5,NCAAF,2023-11-11 10:00:41-05:00,Ohio State Buckeyes,Michigan State Spartans,DraftKings,spreads,2023-08-28 17:51:04-04:00
Michigan Wolverines,-110,-2.5,NCAAF,2023-11-11 10:00:41-05:00,Penn State Nittany Lions,Michigan Wolverines,DraftKings,spreads,2023-08-28 17:51:04-04:00
Penn State Nittany Lions,-110,2.5,NCAAF,2023-11-11 10:00:41-05:00,Penn State Nittany Lions,Michigan Wolverines,DraftKings,spreads,2023-08-28 17:51:04-04:00
Georgia Bulldogs,-110,-8.5,NCAAF,2023-11-18 10:00:41-05:00,Tennessee Volunteers,Georgia Bulldogs,DraftKings,spreads,2023-08-28 17:51:04-04:00
Tennessee Volunteers,-110,8.5,NCAAF,2023-11-18 10:00:41-05:00,Tennessee Volunteers,Georgia Bulldogs,DraftKings,spreads,2023-08-28 17:51:04-04:00
Kansas Jayhawks,-110,6.0,NCAAF,2023-11-18 10:00:41-05:00,Kansas Jayhawks,Kansas State Wildcats,DraftKings,spreads,2023-08-28 17:51:04-04:00
Kansas State Wildcats,-110,-6.0,NCAAF,2023-11-18 10:00:41-05:00,Kansas Jayhawks,Kansas State Wildcats,DraftKings,spreads,2023-08-28 17:51:04-04:00
Mississippi State Bulldogs,-110,1.5,NCAAF,2023-11-23 10:00:41-05:00,Mississippi State Bulldogs,Ole Miss Rebels,DraftKings,spreads,2023-08-28 17:51:04-04:00
Ole Miss Rebels,-110,-1.5,NCAAF,2023-11-23 10:00:41-05:00,Mississippi State Bulldogs,Ole Miss Rebels,DraftKings,spreads,2023-08-28 17:51:04-04:00
Oregon Ducks,-110,-7.0,NCAAF,2023-11-24 10:00:41-05:00,Oregon Ducks,Oregon State Beavers,DraftKings,spreads,2023-08-28 17:51:04-04:00
Oregon State Beavers,-110,7.0,NCAAF,2023-11-24 10:00:41-05:00,Oregon Ducks,Oregon State Beavers,DraftKings,spreads,2023-08-28 17:51:04-04:00
Michigan Wolverines,-110,-2.5,NCAAF,2023-11-25 10:00:41-05:00,Michigan Wolverines,Ohio State Buckeyes,DraftKings,spreads,2023-08-28 17:51:04-04:00
Ohio State Buckeyes,-110,2.5,NCAAF,2023-11-25 10:00:41-05:00,Michigan Wolverines,Ohio State Buckeyes,DraftKings,spreads,2023-08-28 17:51:04-04:00
