Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Memphis Tigers,-105,-14.5,NCAAF,2023-09-14 19:30:00-04:00,Memphis Tigers,Navy Midshipmen,DraftKings,spreads,2023-09-12 12:20:42-04:00
Navy Midshipmen,-115,14.5,NCAAF,2023-09-14 19:30:00-04:00,Memphis Tigers,Navy Midshipmen,DraftKings,spreads,2023-09-12 12:20:42-04:00
O/U,-110,47.0,NCAAF,2023-09-14 19:30:00-04:00,Memphis Tigers,Navy Midshipmen,DraftKings,totals,2023-09-12 12:20:42-04:00
Army Black Knights,-110,9.0,NCAAF,2023-09-15 19:00:00-04:00,UTSA Roadrunners,Army Black Knights,DraftKings,spreads,2023-09-12 12:20:42-04:00
UTSA Roadrunners,-110,-9.0,NCAAF,2023-09-15 19:00:00-04:00,UTSA Roadrunners,Army Black Knights,DraftKings,spreads,2023-09-12 12:20:42-04:00
O/U,-110,45.5,NCAAF,2023-09-15 19:00:00-04:00,UTSA Roadrunners,Army Black Knights,DraftKings,totals,2023-09-12 12:20:42-04:00
Maryland Terrapins,-108,-14.5,NCAAF,2023-09-15 19:00:00-04:00,Maryland Terrapins,Virginia Cavaliers,DraftKings,spreads,2023-09-12 12:20:42-04:00
Virginia Cavaliers,-112,14.5,NCAAF,2023-09-15 19:00:00-04:00,Maryland Terrapins,Virginia Cavaliers,DraftKings,spreads,2023-09-12 12:20:42-04:00
O/U,-108,49.5,NCAAF,2023-09-15 19:00:00-04:00,Maryland Terrapins,Virginia Cavaliers,DraftKings,totals,2023-09-12 12:20:42-04:00
Air Force Falcons,-110,-10.0,NCAAF,2023-09-15 20:00:00-04:00,Air Force Falcons,Utah State Aggies,DraftKings,spreads,2023-09-12 12:20:42-04:00
Utah State Aggies,-110,10.0,NCAAF,2023-09-15 20:00:00-04:00,Air Force Falcons,Utah State Aggies,DraftKings,spreads,2023-09-12 12:20:42-04:00
O/U,-110,47.0,NCAAF,2023-09-15 20:00:00-04:00,Air Force Falcons,Utah State Aggies,DraftKings,totals,2023-09-12 12:20:42-04:00
